ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
AFG,Afghanistan,total,Drinking water,2004,3.39455,799779.12105,Limited service
AFG,Afghanistan,rural,Drinking water,2004,3.40884,622437.39236,Limited service
AFG,Afghanistan,urban,Drinking water,2004,3.34535,177341.66782,Limited service
AFG,Afghanistan,total,Sanitation,2004,22.24911,5242035.242,Open defecation
AFG,Afghanistan,rural,Sanitation,2004,27.32075,4988634.8219,Open defecation
AFG,Afghanistan,urban,Sanitation,2004,4.7801,253399.92621,Open defecation
AFG,Afghanistan,total,Drinking water,2004,21.97137,5176598.61382,Surface water
AFG,Afghanistan,rural,Drinking water,2004,26.22832,4789161.44395,Surface water
AFG,Afghanistan,urban,Drinking water,2004,7.30854,387436.69648,Surface water
AFG,Afghanistan,total,Sanitation,2004,12.29813,2897520.08656,Safely managed service
AFG,Afghanistan,rural,Sanitation,2004,12.48692,2280049.04794,Safely managed service
AFG,Afghanistan,urban,Sanitation,2004,11.64787,617470.81548,Safely managed service
AFG,Afghanistan,total,Drinking water,2004,13.91027,3277349.77342,Safely managed service
AFG,Afghanistan,rural,Drinking water,2004,10.99842,2008257.84568,Safely managed service
AFG,Afghanistan,urban,Drinking water,2004,23.93995,1269091.73493,Safely managed service
AFG,Afghanistan,total,Sanitation,2004,45.09027,10623561.39157,Unimproved
AFG,Afghanistan,rural,Sanitation,2004,45.80049,8362942.62207,Unimproved
AFG,Afghanistan,urban,Sanitation,2004,42.64395,2260618.73619,Unimproved
AFG,Afghanistan,total,Drinking water,2004,38.63472,9102592.87753,Unimproved
AFG,Afghanistan,rural,Drinking water,2004,42.04484,7677179.88302,Unimproved
AFG,Afghanistan,urban,Drinking water,2004,26.88877,1425413.02495,Unimproved
AFG,Afghanistan,total,Hygiene,2005,35.34367,8625470.70284,Basic service
AFG,Afghanistan,rural,Hygiene,2005,26.30723,4962595.70909,Basic service
AFG,Afghanistan,urban,Hygiene,2005,66.11009,3662874.75159,Basic service
AFG,Afghanistan,total,Sanitation,2005,15.01367,3664020.68093,Basic service
AFG,Afghanistan,rural,Sanitation,2005,11.8933,2243551.88478,Basic service
AFG,Afghanistan,urban,Sanitation,2005,25.6376,1420468.68103,Basic service
AFG,Afghanistan,total,Drinking water,2005,23.3815,5706153.89269,Basic service
AFG,Afghanistan,rural,Drinking water,2005,18.61226,3511017.22816,Basic service
AFG,Afghanistan,urban,Drinking water,2005,39.61934,2195136.61595,Basic service
AFG,Afghanistan,total,Hygiene,2005,26.63912,6501160.96041,Limited service
AFG,Afghanistan,rural,Hygiene,2005,29.59429,5582666.77566,Limited service
AFG,Afghanistan,urban,Hygiene,2005,16.57761,918494.11325,Limited service
AFG,Afghanistan,total,Sanitation,2005,6.38784,1558925.85721,Limited service
AFG,Afghanistan,rural,Sanitation,2005,3.3333,628793.7936,Limited service
AFG,Afghanistan,urban,Sanitation,2005,16.78766,930132.00368,Limited service
AFG,Afghanistan,total,Drinking water,2005,3.61282,881692.40692,Limited service
AFG,Afghanistan,rural,Drinking water,2005,3.66327,691038.55476,Limited service
AFG,Afghanistan,urban,Drinking water,2005,3.44105,190653.83848,Limited service
AFG,Afghanistan,total,Hygiene,2005,38.01721,9277935.02214,No handwashing facility
AFG,Afghanistan,rural,Hygiene,2005,44.09848,8318735.708,No handwashing facility
AFG,Afghanistan,urban,Hygiene,2005,17.3123,959199.61402,No handwashing facility
AFG,Afghanistan,total,Sanitation,2005,21.66957,5288365.53649,Open defecation
AFG,Afghanistan,rural,Sanitation,2005,26.72268,5040965.80123,Open defecation
AFG,Afghanistan,urban,Sanitation,2005,4.46524,247399.7072,Open defecation
AFG,Afghanistan,total,Drinking water,2005,21.16317,5164780.18092,Surface water
AFG,Afghanistan,rural,Drinking water,2005,25.35538,4783037.56086,Surface water
AFG,Afghanistan,urban,Drinking water,2005,6.88995,381742.58422,Surface water
AFG,Afghanistan,total,Sanitation,2005,13.01925,3177291.39756,Safely managed service
